Python
Java
C
C++
JavaScript
HTML
CSS
React
Node.js
SQL
MySQL
MongoDB
Git
GitHub
Machine Learning
Deep Learning
TensorFlow
PyTorch
Pandas
NumPy
Scikit-learn
OpenCV
Flask
Django
AWS
Docker
Linux
Arduino
ESP32
STM32
PCB Design
KiCad
MATLAB
Communication
Leadership
Problem Solving
Teamwork
